,Unnamed: 0,Issued,Operating Name,Licence Address Line 3,Licence No.,Category,postal,lat,lng,year,area
104228,104257,20/04/90,,M4S,T850205270,BUILDING RENOVATOR,M4S,43.706192,-79.393227,1990,M4S
104229,104258,10/05/90,,M3N,T850205670,BUILDING RENOVATOR,M3N,43.752712,-79.512823,1990,M3N
104230,104259,10/05/90,,L5G,T850205671,BUILDING RENOVATOR,L5G,43.570082,-79.580719,1990,L5G
104231,104260,18/05/90,,M1C,T850205853,BUILDING RENOVATOR,M1C,43.789091,-79.160265,1990,M1C
104232,104261,18/05/90,,M9P,T850205854,BUILDING RENOVATOR,M9P,43.678001,-79.524372,1990,M9P
104233,104262,28/05/90,NORGARD CONTRACTING SERVICES LTD,M8W,T850206016,BUILDING RENOVATOR,M8W,43.590207,-79.545244,1990,M8W
104234,104263,31/05/90,B.W.K. CONSTRUCTION COMPANY LIMITED,L1W,T850206144,BUILDING RENOVATOR,L1W,43.825855,-79.091504,1990,L1W
104235,104264,07/06/90,ERIN QUALITY HOME RENOVATIONS INC,L1C,T850206270,BUILDING RENOVATOR,L1C,43.906007,-78.705806,1990,L1C
104236,104265,15/06/90,PRIDE RESTORATION,L1H,T850206455,BUILDING RENOVATOR,L1H,43.882587,-78.801578,1990,L1H
104237,104266,05/07/90,BRIDGECON CONSTRUCTION LTD,L4K,T850206819,BUILDING RENOVATOR,L4K,43.811608,-79.552851,1990,L4K
104238,104267,18/07/90,,L1C,T850207024,BUILDING RENOVATOR,L1C,43.906007,-78.705806,1990,L1C
104239,104268,14/08/90,SARRA GENERAL CONTRACTOR LTD.,L6T,T850207253,BUILDING RENOVATOR,L6T,43.739983,-79.650583,1990,L6T
104240,104269,14/08/90,G AND G REPAIRS AND GENERAL CONTRACTING CO.,M3M,T850207262,BUILDING RENOVATOR,M3M,43.721721,-79.493153,1990,M3M
104241,104270,16/08/90,,M5N,T850207344,BUILDING RENOVATOR,M5N,43.647852,-79.37728,1990,M5N
104242,104271,16/08/90,C-N CONTRACTING,M1J,T850207352,BUILDING RENOVATOR,M1J,43.740852,-79.238945,1990,M1J
104243,104272,13/09/90,A & C ROOFING,L4L,T850207703,BUILDING RENOVATOR,L4L,43.792539,-79.551279,1990,L4L
104244,104273,14/09/90,CHUN HING CONSTRUCTION COMPANY,M1S,T850207724,BUILDING RENOVATOR,M1S,43.792274,-79.28638,1990,M1S
104245,104274,14/09/90,CROWNSEAL BASEMENT WATERPROOFING INC,L5T,T850207728,BUILDING RENOVATOR,L5T,43.65271,-79.69113,1990,L5T
104246,104275,14/09/90,,L4X,T850207747,BUILDING RENOVATOR,L4X,43.616777,-79.577181,1990,L4X
104247,104276,14/09/90,NORTH YORK PAINTING & CONTRACTING LIMITED,M1V,T850207749,BUILDING RENOVATOR,M1V,43.810753,-79.292694,1990,M1V
104248,104277,14/09/90,TWIN EAGLE RENOVATION AND ALUM.SIDING,M1K,T850207755,BUILDING RENOVATOR,M1K,43.720406,-79.255784,1990,M1K
104249,104278,17/09/90,L & M ENTERPRISES,L5R,T850207770,BUILDING RENOVATOR,L5R,43.604818,-79.672971,1990,L5R
104250,104279,21/09/90,,M1K,T850207849,BUILDING RENOVATOR,M1K,43.720406,-79.255784,1990,M1K
104251,104280,09/10/90,TRIPLAST MANUFACTURING CO. LIMITED,M6N,T850208102,BUILDING RENOVATOR,M6N,43.674026,-79.488441,1990,M6N
104252,104281,15/10/90,IMPERIAL ROOFING AND SHEET METAL,M6C,T850208169,BUILDING RENOVATOR,M6C,43.69846,-79.438896,1990,M6C
104253,104282,18/10/90,AMBRASKA CONSTRUCTION CO LTD,L5H,T850208260,BUILDING RENOVATOR,L5H,43.549495,-79.590034,1990,L5H
104254,104283,18/10/90,IMMACULATE CONSTRUCTION INC.,M5J,T850208261,BUILDING RENOVATOR,M5J,43.642331,-79.384109,1990,M5J
104255,104284,18/10/90,MAURA ROOFING LIMITED,L4Z,T850208272,BUILDING RENOVATOR,L4Z,43.594756,-79.635969,1990,L4Z
104256,104285,22/10/90,QUANZA ROOFING LTD.,L4X,T850208372,BUILDING RENOVATOR,L4X,43.616777,-79.577181,1990,L4X
104257,104286,24/10/90,FLOYD P MOSS LIMITED,M6H,T850208417,BUILDING RENOVATOR,M6H,43.659753,-79.428556,1990,M6H
104258,104287,30/10/90,ENEX DOOR AUTOMATION INC.,L4K,T850208501,BUILDING RENOVATOR,L4K,43.811608,-79.552851,1990,L4K
104259,104288,01/01/91,,L4T,T850208873,BUILDING RENOVATOR,L4T,43.628726,-79.664034,1991,L4T
104260,104289,01/01/91,WOODLAND CONSTRUCTION,M5J,T850208874,BUILDING RENOVATOR,M5J,43.642331,-79.384109,1991,M5J
104261,104290,01/01/91,,M4N,T850208904,BUILDING RENOVATOR,M4N,43.719292,-79.386154,1991,M4N
104262,104291,01/01/91,HQZ CONSULTANTS,L4N,T850209000,BUILDING RENOVATOR,L4N,44.330758,-79.728673,1991,L4N
104263,104292,01/01/91,,M6G,T850209002,BUILDING RENOVATOR,M6G,43.669493,-79.423525,1991,M6G
104264,104293,01/01/91,BED ROCK FOUNDATIONS,M4C,T850209051,BUILDING RENOVATOR,M4C,43.683744,-79.322361,1991,M4C
104265,104294,01/01/91,MEN AT WORK GENERAL CONTRACTORS,M6P,T850209100,BUILDING RENOVATOR,M6P,43.656241,-79.446009,1991,M6P
104266,104295,01/01/91,PROGRESSIVE HOMES INCORPORATED,L4K,T850209329,BUILDING RENOVATOR,L4K,43.811608,-79.552851,1991,L4K
104267,104296,01/01/91,VULCAN ASPHALT AND SUPPLY LIMITED,L4K,T850209330,BUILDING RENOVATOR,L4K,43.811608,-79.552851,1991,L4K
104268,104297,03/01/91,ALUMICOR LIMITED,M9W,T850209432,BUILDING RENOVATOR,M9W,43.692348,-79.585342,1991,M9W
104269,104298,14/01/91,HERITAGE HILLS RENOVATIONS INC,L4J,T850209635,BUILDING RENOVATOR,L4J,43.818375,-79.452075,1991,L4J
104270,104299,15/01/91,,M4M,T850209682,BUILDING RENOVATOR,M4M,43.651613,-79.352272,1991,M4M
104271,104300,29/01/91,L & A GENERAL CONTRACTORS,M1B,T850209878,BUILDING RENOVATOR,M1B,43.754569,-79.352342,1991,M1B
104272,104301,15/02/91,KWOK CHI CONSTRUCTION CO,M1L,T850210130,BUILDING RENOVATOR,M1L,43.701933,-79.276201,1991,M1L
104273,104302,15/02/91,EAST-SIDE ROOFING & GENERAL CONTRACTING,M4E,T850210136,BUILDING RENOVATOR,M4E,43.68755,-79.291656,1991,M4E
104274,104303,15/02/91,CROSSROADS DEVELOPMENTS,M1M,T850210154,BUILDING RENOVATOR,M1M,43.724026,-79.241241,1991,M1M
104275,104304,18/02/91,,M5A,T850210164,BUILDING RENOVATOR,M5A,43.652833,-79.377614,1991,M5A
104276,104305,19/02/91,CHARLIE'S HOME IMPROVEMENTS,M1C,T850210190,BUILDING RENOVATOR,M1C,43.789091,-79.160265,1991,M1C
104277,104306,06/03/91,MARVIN WINDOWS AND DOORS,L5T,T850210432,BUILDING RENOVATOR,L5T,43.65271,-79.69113,1991,L5T
104278,104307,06/03/91,DSW LANDSCAPING AND CONTRACTING,M1N,T850210444,BUILDING RENOVATOR,M1N,43.680889,-79.278736,1991,M1N
104279,104308,12/03/91,,L5G,T850210614,BUILDING RENOVATOR,L5G,43.570082,-79.580719,1991,L5G
104280,104309,13/03/91,FERDOM CONSTRUCTION,M9V,T850210641,BUILDING RENOVATOR,M9V,43.741978,-79.586254,1991,M9V
104281,104310,13/03/91,ROOMS THAT JACK BUILT,L6Y,T850210648,BUILDING RENOVATOR,L6Y,43.634656,-79.754125,1991,L6Y
104282,104311,15/03/91,ERJ CONSTRUCTION AND RENOVATION,M4E,T850210673,BUILDING RENOVATOR,M4E,43.68755,-79.291656,1991,M4E
104283,104312,26/03/91,,M6M,T850210895,BUILDING RENOVATOR,M6M,43.689769,-79.490769,1991,M6M
